linie,richtung,betriebsdatum,fahrzeug,kurs,seq_von,halt_diva_von,halt_punkt_diva_von,halt_kurz_von1,datum_von,soll_an_von,ist_an_von,soll_ab_von,ist_ab_von,seq_nach,halt_diva_nach,halt_punkt_diva_nach,halt_kurz_nach1,datum_nach,soll_an_nach,ist_an_nach1,soll_ab_nach,ist_ab_nach,fahrt_id,fahrweg_id,fw_no,fw_typ,fw_kurz,fw_lang,umlauf_von,halt_id_von,halt_id_nach,halt_punkt_id_von,halt_punkt_id_nach
2,1,15.01.17,2076,6,12,478,0,BEZI,15.01.17,19158,19235,19170,19244,13,2556,0,STAU,15.01.17,19248,19317,19338,19355,8540,42738,1,1,1,FARB - BTIE,135780,1306,1502,12780,10622
2,1,15.01.17,2076,6,11,1357,0,KALK,15.01.17,19074,19153,19092,19168,12,478,0,BEZI,15.01.17,19158,19235,19170,19244,8540,42738,1,1,1,FARB - BTIE,135780,1906,1306,10760,12780
2,1,15.01.17,2076,6,10,1579,0,LOCH,15.01.17,18990,19079,19008,19088,11,1357,0,KALK,15.01.17,19074,19153,19092,19168,8540,42738,1,1,1,FARB - BTIE,135780,2248,1906,10559,10760
2,1,15.01.17,2059,2,1,6030,0,DEP4,15.01.17,19320,19349,19320,19349,2,1357,1,KALK,15.01.17,19362,19401,19362,19431,8420,41253,15,2,15,DEP4 - KALK,136260,2251,1906,12462,10563
2,1,15.01.17,3004,5,13,2907,0,WILD,15.01.17,19392,19395,19404,19404,14,3041,0,BTIE,15.01.17,19476,19482,19476,19924,8505,42743,11,1,11,BEZI - BTIE für Ausfahrt,135232,2651,2788,10566,12775
2,1,15.01.17,3004,5,12,917,0,FROE,15.01.17,19338,19342,19350,19348,13,2907,0,WILD,15.01.17,19392,19395,19404,19404,8505,42743,11,1,11,BEZI - BTIE für Ausfahrt,135232,2680,2651,10545,10566
2,1,15.01.17,3004,5,11,1286,0,HOES,15.01.17,19272,19272,19284,19280,12,917,0,FROE,15.01.17,19338,19342,19350,19348,8505,42743,11,1,11,BEZI - BTIE für Ausfahrt,135232,2615,2680,5964,10545
2,1,15.01.17,3004,5,10,832,0,FELD,15.01.17,19212,19207,19224,19214,11,1286,0,HOES,15.01.17,19272,19272,19284,19280,8505,42743,11,1,11,BEZI - BTIE für Ausfahrt,135232,2689,2615,10560,5964
2,1,15.01.17,3004,5,9,1456,0,KRES,15.01.17,19140,19135,19152,19147,10,832,0,FELD,15.01.17,19212,19207,19224,19214,8505,42743,11,1,11,BEZI - BTIE für Ausfahrt,135232,2612,2689,10577,10560
2,1,15.01.17,3004,5,8,1845,0,OPER,15.01.17,19074,19074,19092,19082,9,1456,0,KRES,15.01.17,19140,19135,19152,19147,8505,42743,11,1,11,BEZI - BTIE für Ausfahrt,135232,2104,2612,10538,10577
2,1,15.01.17,3004,5,7,440,0,BELL,15.01.17,18972,18988,19002,18999,8,1845,0,OPER,15.01.17,19074,19074,19092,19082,8505,42743,11,1,11,BEZI - BTIE für Ausfahrt,135232,1565,2104,12485,10538
2,1,15.01.17,3011,9,11,1357,0,KALK,15.01.17,19974,19932,19992,19948,12,478,0,BEZI,15.01.17,20058,20013,20070,20023,7908,42738,1,1,1,FARB - BTIE,136585,1906,1306,10760,12780
2,1,15.01.17,3011,9,10,1579,0,LOCH,15.01.17,19890,19862,19908,19874,11,1357,0,KALK,15.01.17,19974,19932,19992,19948,7908,42738,1,1,1,FARB - BTIE,136585,2248,1906,10559,10760
2,1,15.01.17,3011,9,9,3019,0,ZYPR,15.01.17,19836,19810,19848,19818,10,1579,0,LOCH,15.01.17,19890,19862,19908,19874,7908,42738,1,1,1,FARB - BTIE,136585,2250,2248,10570,10559
2,1,15.01.17,3011,9,8,48,0,ALBP,15.01.17,19758,19747,19782,19760,9,3019,0,ZYPR,15.01.17,19836,19810,19848,19818,7908,42738,1,1,1,FARB - BTIE,136585,1535,2250,12463,10570
2,1,15.01.17,3011,9,7,1548,0,LETG,15.01.17,19674,19660,19686,19672,8,48,0,ALBP,15.01.17,19758,19747,19782,19760,7908,42738,1,1,1,FARB - BTIE,136585,2245,1535,10550,12463
2,1,15.01.17,3011,9,6,883,0,FREI,15.01.17,19608,19584,19626,19608,7,1548,0,LETG,15.01.17,19674,19660,19686,19672,7908,42738,1,1,1,FARB - BTIE,136585,2253,2245,5122,10550
2,1,15.01.17,3011,9,5,1364,0,KAPP,15.01.17,19536,19508,19548,19517,6,883,0,FREI,15.01.17,19608,19584,19626,19608,7908,42738,1,1,1,FARB - BTIE,136585,2244,2253,10576,5122
2,1,15.01.17,3011,9,4,1026,0,GRIM,15.01.17,19452,19421,19464,19433,5,1364,0,KAPP,15.01.17,19536,19508,19548,19517,7908,42738,1,1,1,FARB - BTIE,136585,2770,2244,10571,10576
2,1,15.01.17,3011,9,3,1570,0,LIND,15.01.17,19386,19362,19404,19372,4,1026,0,GRIM,15.01.17,19452,19421,19464,19433,7908,42738,1,1,1,FARB - BTIE,136585,2535,2770,10537,10571
2,1,15.01.17,3011,9,2,137,0,BACH,15.01.17,19332,19311,19344,19317,3,1570,0,LIND,15.01.17,19386,19362,19404,19372,7908,42738,1,1,1,FARB - BTIE,136585,2818,2535,12583,10537
2,1,15.01.17,3011,9,1,821,0,FARB,15.01.17,19290,19263,19290,19263,2,137,0,BACH,15.01.17,19332,19311,19344,19317,7908,42738,1,1,1,FARB - BTIE,136585,1310,2818,10578,12583
2,1,15.01.17,2076,6,24,2907,0,WILD,15.01.17,20166,20176,20178,20186,25,3041,0,BTIE,15.01.17,20250,20257,20250,20940,8540,42738,1,1,1,FARB - BTIE,135780,2651,2788,10566,12775
2,1,15.01.17,2076,6,23,917,0,FROE,15.01.17,20112,20132,20124,20134,24,2907,0,WILD,15.01.17,20166,20176,20178,20186,8540,42738,1,1,1,FARB - BTIE,135780,2680,2651,10545,10566
2,1,15.01.17,3056,3,18,440,0,BELL,15.01.17,22446,22399,22476,22427,19,1845,0,OPER,15.01.17,22548,22487,22566,22497,8450,42738,1,1,1,FARB - BTIE,135319,1565,2104,12485,10538
2,1,15.01.17,3056,3,17,615,0,BURK,15.01.17,22350,22325,22368,22339,18,440,0,BELL,15.01.17,22446,22399,22476,22427,8450,42738,1,1,1,FARB - BTIE,135319,2590,1565,12843,12485
2,1,15.01.17,3056,3,16,601,0,BOES,15.01.17,22260,22251,22272,22256,17,615,0,BURK,15.01.17,22350,22325,22368,22339,8450,42738,1,1,1,FARB - BTIE,135319,2228,2590,12823,12843
2,1,15.01.17,3056,3,15,1861,0,PARA,15.01.17,22200,22195,22218,22207,16,601,0,BOES,15.01.17,22260,22251,22272,22256,8450,42738,1,1,1,FARB - BTIE,135319,1528,2228,12584,12823
2,1,15.01.17,3056,3,14,2396,0,SIHS,15.01.17,22116,22099,22128,22113,15,1861,0,PARA,15.01.17,22200,22195,22218,22207,8450,42738,1,1,1,FARB - BTIE,135319,2657,1528,10574,12584
2,1,15.01.17,3056,3,13,2556,0,STAU,15.01.17,21948,21916,22038,22007,14,2396,0,SIHS,15.01.17,22116,22099,22128,22113,8450,42738,1,1,1,FARB - BTIE,135319,1502,2657,10622,10574
2,1,15.01.17,3056,3,12,478,0,BEZI,15.01.17,21858,21836,21870,21839,13,2556,0,STAU,15.01.17,21948,21916,22038,22007,8450,42738,1,1,1,FARB - BTIE,135319,1306,1502,12780,10622
2,1,15.01.17,3056,3,11,1357,0,KALK,15.01.17,21774,21743,21792,21767,12,478,0,BEZI,15.01.17,21858,21836,21870,21839,8450,42738,1,1,1,FARB - BTIE,135319,1906,1306,10760,12780
2,1,15.01.17,3056,3,10,1579,0,LOCH,15.01.17,21690,21613,21708,21636,11,1357,0,KALK,15.01.17,21774,21743,21792,21767,8450,42738,1,1,1,FARB - BTIE,135319,2248,1906,10559,10760
2,1,15.01.17,3056,3,9,3019,0,ZYPR,15.01.17,21636,21555,21648,21566,10,1579,0,LOCH,15.01.17,21690,21613,21708,21636,8450,42738,1,1,1,FARB - BTIE,135319,2250,2248,10570,10559
2,1,15.01.17,3056,3,8,48,0,ALBP,15.01.17,21558,21495,21582,21507,9,3019,0,ZYPR,15.01.17,21636,21555,21648,21566,8450,42738,1,1,1,FARB - BTIE,135319,1535,2250,12463,10570
2,1,15.01.17,3056,3,7,1548,0,LETG,15.01.17,21474,21422,21486,21437,8,48,0,ALBP,15.01.17,21558,21495,21582,21507,8450,42738,1,1,1,FARB - BTIE,135319,2245,1535,10550,12463
2,1,15.01.17,3056,3,6,883,0,FREI,15.01.17,21408,21373,21426,21384,7,1548,0,LETG,15.01.17,21474,21422,21486,21437,8450,42738,1,1,1,FARB - BTIE,135319,2253,2245,5122,10550
2,1,15.01.17,3056,3,5,1364,0,KAPP,15.01.17,21336,21321,21348,21328,6,883,0,FREI,15.01.17,21408,21373,21426,21384,8450,42738,1,1,1,FARB - BTIE,135319,2244,2253,10576,5122
2,1,15.01.17,3056,3,4,1026,0,GRIM,15.01.17,21252,21246,21264,21266,5,1364,0,KAPP,15.01.17,21336,21321,21348,21328,8450,42738,1,1,1,FARB - BTIE,135319,2770,2244,10571,10576
2,1,15.01.17,3056,3,3,1570,0,LIND,15.01.17,21186,21184,21204,21197,4,1026,0,GRIM,15.01.17,21252,21246,21264,21266,8450,42738,1,1,1,FARB - BTIE,135319,2535,2770,10537,10571
2,1,15.01.17,3056,3,2,137,0,BACH,15.01.17,21132,21144,21144,21148,3,1570,0,LIND,15.01.17,21186,21184,21204,21197,8450,42738,1,1,1,FARB - BTIE,135319,2818,2535,12583,10537
2,1,15.01.17,3056,3,1,821,0,FARB,15.01.17,21090,21101,21090,21101,2,137,0,BACH,15.01.17,21132,21144,21144,21148,8450,42738,1,1,1,FARB - BTIE,135319,1310,2818,10578,12583
2,1,15.01.17,3004,5,7,1548,0,LETG,15.01.17,22374,22451,22386,22464,8,48,0,ALBP,15.01.17,22458,22549,22482,22559,8507,42738,1,1,1,FARB - BTIE,135232,2245,1535,10550,12463
2,1,15.01.17,3004,5,6,883,0,FREI,15.01.17,22308,22380,22326,22391,7,1548,0,LETG,15.01.17,22374,22451,22386,22464,8507,42738,1,1,1,FARB - BTIE,135232,2253,2245,5122,10550
2,1,15.01.17,3004,5,5,1364,0,KAPP,15.01.17,22236,22297,22248,22306,6,883,0,FREI,15.01.17,22308,22380,22326,22391,8507,42738,1,1,1,FARB - BTIE,135232,2244,2253,10576,5122
2,1,15.01.17,3004,5,4,1026,0,GRIM,15.01.17,22152,22203,22164,22215,5,1364,0,KAPP,15.01.17,22236,22297,22248,22306,8507,42738,1,1,1,FARB - BTIE,135232,2770,2244,10571,10576
2,1,15.01.17,3004,5,3,1570,0,LIND,15.01.17,22086,22127,22104,22138,4,1026,0,GRIM,15.01.17,22152,22203,22164,22215,8507,42738,1,1,1,FARB - BTIE,135232,2535,2770,10537,10571
2,1,15.01.17,3004,5,2,137,0,BACH,15.01.17,22032,22065,22044,22074,3,1570,0,LIND,15.01.17,22086,22127,22104,22138,8507,42738,1,1,1,FARB - BTIE,135232,2818,2535,12583,10537
2,1,15.01.17,3004,5,1,821,0,FARB,15.01.17,21990,22007,21990,22007,2,137,0,BACH,15.01.17,22032,22065,22044,22074,8507,42738,1,1,1,FARB - BTIE,135232,1310,2818,10578,12583
2,1,15.01.17,2059,2,24,2907,0,WILD,15.01.17,21966,21924,21978,21930,25,3041,0,BTIE,15.01.17,22050,21993,22050,22657,8422,42738,1,1,1,FARB - BTIE,136260,2651,2788,10566,12775
2,1,15.01.17,2059,2,23,917,0,FROE,15.01.17,21912,21873,21924,21886,24,2907,0,WILD,15.01.17,21966,21924,21978,21930,8422,42738,1,1,1,FARB - BTIE,136260,2680,2651,10545,10566
2,1,15.01.17,2059,2,22,1286,0,HOES,15.01.17,21846,21800,21858,21822,23,917,0,FROE,15.01.17,21912,21873,21924,21886,8422,42738,1,1,1,FARB - BTIE,136260,2615,2680,5964,10545
2,1,15.01.17,2059,2,21,832,0,FELD,15.01.17,21786,21735,21798,21752,22,1286,0,HOES,15.01.17,21846,21800,21858,21822,8422,42738,1,1,1,FARB - BTIE,136260,2689,2615,10560,5964
2,1,15.01.17,2059,2,20,1456,0,KRES,15.01.17,21714,21673,21726,21684,21,832,0,FELD,15.01.17,21786,21735,21798,21752,8422,42738,1,1,1,FARB - BTIE,136260,2612,2689,10577,10560
2,1,15.01.17,2059,2,19,1845,0,OPER,15.01.17,21648,21608,21666,21628,20,1456,0,KRES,15.01.17,21714,21673,21726,21684,8422,42738,1,1,1,FARB - BTIE,136260,2104,2612,10538,10577
2,1,15.01.17,2059,2,18,440,0,BELL,15.01.17,21546,21505,21576,21548,19,1845,0,OPER,15.01.17,21648,21608,21666,21628,8422,42738,1,1,1,FARB - BTIE,136260,1565,2104,12485,10538
2,1,15.01.17,2059,2,17,615,0,BURK,15.01.17,21450,21440,21468,21449,18,440,0,BELL,15.01.17,21546,21505,21576,21548,8422,42738,1,1,1,FARB - BTIE,136260,2590,1565,12843,12485
2,1,15.01.17,2059,2,16,601,0,BOES,15.01.17,21360,21365,21372,21374,17,615,0,BURK,15.01.17,21450,21440,21468,21449,8422,42738,1,1,1,FARB - BTIE,136260,2228,2590,12823,12843
2,1,15.01.17,2059,2,15,1861,0,PARA,15.01.17,21300,21311,21318,21321,16,601,0,BOES,15.01.17,21360,21365,21372,21374,8422,42738,1,1,1,FARB - BTIE,136260,1528,2228,12584,12823
